episode,cumulative_pools_created
6,1
6,2
6,3
6,4
8,5
9,6
10,7
10,8
10,9
10,10
10,11
10,12
11,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
13,24
13,25
13,26
13,27
13,28
13,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,44
14,45
14,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
16,62
16,63
16,64
16,65
16,66
16,67
16,68
16,69
16,70
16,71
16,72
16,73
16,74
16,75
16,76
16,77
17,78
17,79
17,80
17,81
17,82
17,83
17,84
18,85
18,86
18,87
18,88
19,89
19,90
19,91
19,92
19,93
19,94
19,95
19,96
19,97
19,98
20,99
20,100
20,101
20,102
20,103
20,104
20,105
20,106
20,107
20,108
20,109
20,110
20,111
20,112
21,113
21,114
21,115
21,116
21,117
21,118
21,119
21,120
21,121
21,122
21,123
21,124
21,125
21,126
21,127
21,128
21,129
21,130
21,131
21,132
21,133
21,134
21,135
22,136
22,137
22,138
22,139
22,140
22,141
22,142
22,143
22,144
22,145
22,146
22,147
22,148
22,149
22,150
22,151
22,152
22,153
22,154
22,155
22,156
22,157
22,158
22,159
22,160
23,161
23,162
23,163
23,164
23,165
23,166
23,167
24,168
24,169
24,170
24,171
24,172
24,173
24,174
24,175
24,176
24,177
24,178
24,179
24,180
24,181
24,182
24,183
24,184
24,185
24,186
24,187
24,188
24,189
24,190
24,191
24,192
24,193
24,194
24,195
24,196
24,197
25,198
25,199
25,200
26,201
26,202
26,203
26,204
26,205
26,206
26,207
26,208
26,209
26,210
26,211
26,212
26,213
26,214
27,215
27,216
27,217
27,218
27,219
27,220
27,221
28,222
28,223
28,224
28,225
28,226
28,227
28,228
28,229
28,230
28,231
28,232
28,233
28,234
29,235
29,236
29,237
29,238
29,239
29,240
29,241
30,242
30,243
30,244
30,245
30,246
30,247
30,248
31,249
31,250
31,251
31,252
31,253
31,254
31,255
31,256
32,257
32,258
32,259
