eviction_episode,visit_count,first_episode,last_episode,age_episodes,unique_actions_executed,near_promotion,recent_candidate,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,blocked_evidence_archived
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,1,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,0,0,0,0,False
377,1,375,375,2,1,False,True,511,0,0,1,0,0,0,1,False
377,1,375,375,2,1,False,True,511,0,0,1,0,0,0,1,False
377,1,375,375,2,1,False,True,511,0,0,1,0,0,0,1,False
377,1,375,375,2,1,False,True,511,0,0,1,0,0,0,1,False
377,1,376,376,1,1,False,True,511,0,0,1,0,0,0,0,False
377,1,376,376,1,1,False,True,511,0,0,1,1,0,0,0,False
377,1,376,376,1,1,False,True,511,0,0,1,1,0,0,0,False
377,1,376,376,1,1,False,True,511,0,0,1,0,0,0,1,False
377,1,376,376,1,1,False,True,511,0,0,1,0,0,0,1,False
377,1,376,376,1,1,False,True,511,0,0,1,0,0,0,1,False
377,1,376,376,1,1,False,True,511,0,0,1,0,0,0,1,False
377,1,377,377,0,1,False,True,511,0,0,1,0,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,1,False,True,511,0,0,1,1,0,0,0,False
377,1,377,377,0,0,False,True,511,0,0,0,0,0,0,0,False
377,1,266,266,111,1,False,False,383,0,128,1,0,0,1,0,True
377,1,267,267,110,1,False,False,383,0,128,1,0,0,1,0,True
379,1,377,377,2,1,False,True,511,0,0,1,1,0,0,0,False
379,1,377,377,2,1,False,True,511,0,0,1,1,0,0,0,False
379,1,377,377,2,1,False,True,511,0,0,1,1,0,0,0,False
379,1,377,377,2,1,False,True,511,0,0,1,0,0,0,1,False
379,1,377,377,2,1,False,True,511,0,0,1,0,0,0,1,False
379,1,377,377,2,1,False,True,511,0,0,1,0,0,0,1,False
379,1,378,378,1,1,False,True,511,0,0,1,0,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
379,1,378,378,1,1,False,True,511,0,0,1,1,0,0,0,False
