retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
585,585,RETIRED,UNKNOWN_PASS_EXHAUSTED,51,90,15,9,35,0,9,0,0,511,0,54,53,0,0,0,2|3|2|2|2|2|2|37|2,2|2|2|2|2|2|2|37|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,5,0.9495822855404445,0.1581066003867558,0.998051723412105,0.03957764083253486,4,,False,False,False,unknown_pass_final_outcome_matured
581,581,RETIRED,UNKNOWN_PASS_EXHAUSTED,56,95,15,9,154,6,3,0,63,448,0,173,11,0,0,0,8|7|6|8|35|6|62|9|32,1|0|0|1|1|0|4|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,399,0,0.9864095201740017,0.08651812287507119,0.9997602217383199,0.012992346623017416,2,,False,False,False,unknown_pass_final_outcome_matured
94,94,RETIRED,UNKNOWN_PASS_EXHAUSTED,43,105,16,9,123,5,4,0,271,240,0,143,12,0,0,0,8|8|4|8|46|5|32|8|24,0|0|0|0|4|2|2|3|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,384,33,0.9799282633192171,0.10658595126455392,0.9987985981189138,0.037735938389853736,2,,False,False,False,unknown_pass_final_outcome_matured
1326,1326,RETIRED,UNKNOWN_PASS_EXHAUSTED,64,122,15,9,61,8,1,0,383,128,0,80,4,0,0,0,3|3|4|4|19|2|17|6|22,0|0|0|0|0|0|0|3|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,398,0,0.9869623565282978,0.0780355988403035,0.9989983517615522,0.05390457298079902,2,,False,False,False,unknown_pass_final_outcome_matured
4077,4077,RETIRED,UNKNOWN_PASS_EXHAUSTED,113,125,19,9,58,8,1,0,447,64,0,81,5,0,0,0,3|2|2|4|20|4|26|3|17,0|0|0|0|0|1|2|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,395,0,0.9830677303774603,0.10583934367730699,0.9994712626111919,0.029435995195446343,2,,False,False,False,unknown_pass_final_outcome_matured
1687,1687,RETIRED,UNKNOWN_PASS_EXHAUSTED,89,144,15,9,30,0,9,0,0,511,0,50,50,0,0,0,2|2|2|2|2|2|2|34|2,2|2|2|2|2|2|2|34|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,3,0.9992167870203654,0.1657002677520116,0.999066956837972,0.03943994026631117,0,,False,False,False,unknown_pass_final_outcome_matured
1684,1684,RETIRED,UNKNOWN_PASS_EXHAUSTED,74,169,15,9,44,0,9,0,0,511,0,65,65,0,0,0,2|2|2|2|2|2|2|49|2,2|2|2|2|2|2|2|49|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,4,0.9904981499368494,0.13849065444347533,0.9990298111330379,0.03288980733222244,1,,False,False,False,unknown_pass_final_outcome_matured
1069,1069,RETIRED,UNKNOWN_PASS_EXHAUSTED,74,172,15,9,31,0,9,0,0,511,0,50,50,0,0,0,2|2|2|2|2|2|2|34|2,2|2|2|2|2|2|2|34|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,399,7,0.9852663624671197,0.15636478172194573,0.9953663137651259,0.06409692740248095,0,,False,False,False,unknown_pass_final_outcome_matured
212,212,RETIRED,UNKNOWN_PASS_EXHAUSTED,43,174,15,9,15,0,9,0,0,511,0,34,34,0,0,0,2|2|2|2|2|2|2|18|2,2|2|2|2|2|2|2|18|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,384,37,0.9901021361351013,0.14947561422983804,0.9983080903689067,0.04463560003787279,1,,False,False,False,unknown_pass_final_outcome_matured
2268,2268,RETIRED,UNKNOWN_PASS_EXHAUSTED,92,192,15,9,20,0,9,0,0,511,0,39,39,0,0,0,2|2|2|2|2|2|2|23|2,2|2|2|2|2|2|2|23|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,395,13,0.9749251961708069,0.08547605890780688,0.9979843735694885,0.05581241305917502,1,,False,False,False,unknown_pass_final_outcome_matured
