candidate_id,status,visit_count,first_episode,last_episode,visits_remaining_for_promotion,unique_actions_executed,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts
121,CANDIDATE,3,43,43,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
122,CANDIDATE,3,43,43,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
210,CANDIDATE,3,46,119,1,2,319,128,64,3,2,0,1,0,0|0|0|0|0|0|1|2|0,0|0|0|0|0|0|0|2|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0
238,CANDIDATE,3,48,48,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
356,CANDIDATE,3,51,158,1,2,383,0,128,3,1,0,0,2,0|0|0|0|0|0|1|2|0,0|0|0|0|0|0|1|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|0
408,CANDIDATE,3,53,53,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
409,CANDIDATE,3,53,53,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
432,CANDIDATE,3,54,54,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
433,CANDIDATE,3,54,54,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
532,CANDIDATE,3,55,55,1,1,479,32,0,3,3,0,0,0,0|0|0|0|0|3|0|0|0,0|0|0|0|0|3|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
639,CANDIDATE,3,57,57,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
651,CANDIDATE,3,57,57,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
1040,CANDIDATE,3,63,63,1,1,255,256,0,3,3,0,0,0,0|0|0|0|0|0|0|0|3,0|0|0|0|0|0|0|0|3,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
1041,CANDIDATE,3,63,63,1,2,447,64,0,3,3,0,0,0,0|0|0|0|0|0|2|0|1,0|0|0|0|0|0|2|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
1430,CANDIDATE,3,71,71,1,1,383,0,128,3,0,0,0,3,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|3|0
1814,CANDIDATE,3,80,80,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
1934,CANDIDATE,3,82,82,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
2032,CANDIDATE,3,84,84,1,1,447,64,0,3,3,0,0,0,0|0|0|0|0|0|3|0|0,0|0|0|0|0|0|3|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
2040,CANDIDATE,3,84,84,1,1,383,128,0,3,3,0,0,0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|3|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0
