retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
35,35,RETIRED,UNKNOWN_PASS_EXHAUSTED,48,48,17,9,0,9,0,0,511,0,0,21,0,0,0,0,2|4|3|2|2|2|2|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,-1,-1,0.0,0.0,0.0,0.0,7,,False,False,False,unknown_pass_final_outcome_matured
43,43,RETIRED,UNKNOWN_PASS_EXHAUSTED,48,48,17,9,16,9,0,0,511,0,0,37,0,0,0,0,3|16|2|2|3|2|3|2|4,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,48,408,0.9991004094481468,0.00977193663129583,0.9985640496015549,0.06821059342473745,7,,False,False,False,unknown_pass_final_outcome_matured
927,927,RETIRED,UNKNOWN_PASS_EXHAUSTED,72,85,13,9,32,0,8,1,0,447,64,49,37,0,0,2,2|4|9|4|4|19|1|4|2,2|2|4|3|4|15|1|4|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|0|0,161,8,0.9992140159010887,0.010164627186895814,0.9989263135939837,0.057245738062192686,7,,False,False,False,unknown_pass_final_outcome_matured
1838,1838,RETIRED,UNKNOWN_PASS_EXHAUSTED,91,91,16,9,2,9,0,0,511,0,0,22,1,0,0,0,2|3|4|2|3|2|2|2|2,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,99,55,0.9986550211906433,0.016343885101377964,0.9945703744888306,0.08974544331431389,5,,False,False,False,unknown_pass_final_outcome_matured
1855,1855,RETIRED,UNKNOWN_PASS_EXHAUSTED,91,99,17,9,5,9,0,0,511,0,0,26,0,0,0,0,2|2|2|2|3|2|2|9|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,99,110,0.9994217276573181,0.010845285467803478,0.9975199341773987,0.07453408688306809,8,,False,False,False,unknown_pass_final_outcome_matured
2102,2102,RETIRED,UNKNOWN_PASS_EXHAUSTED,97,106,15,9,15,4,5,0,15,496,0,38,20,0,0,0,3|2|4|3|2|5|12|5|2,1|0|0|1|2|2|8|4|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,255,10,0.9993690570195516,0.011658746050670743,0.999344543615977,0.05004793703556061,0,,False,False,False,unknown_pass_final_outcome_matured
930,930,RETIRED,UNKNOWN_PASS_EXHAUSTED,74,106,17,9,4,9,0,0,511,0,0,25,2,0,0,0,2|3|2|2|2|2|8|2|2,0|0|0|0|0|0|1|1|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,117,29,0.9997915029525757,0.006997200660407543,0.9992514103651047,0.05023058596998453,0,,False,False,False,unknown_pass_final_outcome_matured
870,870,RETIRED,UNKNOWN_PASS_EXHAUSTED,84,107,14,9,3,0,8,1,0,447,64,25,23,0,0,2,2|2|2|2|3|2|6|4|2,2|2|2|2|3|2|4|4|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|0|0,153,2,0.9993048111597697,0.010454905374596516,0.9977894425392151,0.0831668625275294,7,,False,False,False,unknown_pass_final_outcome_matured
2776,2776,RETIRED,UNKNOWN_PASS_EXHAUSTED,111,111,16,9,1,9,0,0,511,0,0,21,1,0,0,1,2|2|3|2|2|2|3|3|2,0|0|0|0|0|0|0|0|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|0,111,86,0.9996811151504517,0.008492008782923222,0.9930769205093384,0.05709173530340195,4,,False,False,False,unknown_pass_final_outcome_matured
491,491,RETIRED,UNKNOWN_PASS_EXHAUSTED,63,113,18,9,14,0,9,0,0,511,0,36,36,0,0,0,2|2|2|2|2|2|20|2|2,2|2|2|2|2|2|20|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,184,2,0.9996913032872337,0.009873202735824245,0.999150527375085,0.0619888287037611,0,,False,False,False,unknown_pass_final_outcome_matured
933,933,RETIRED,UNKNOWN_PASS_EXHAUSTED,74,117,16,9,1,2,6,1,6,441,64,21,17,0,0,2,3|2|2|2|3|2|3|2|2,2|1|1|2|3|2|2|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|0|0,117,53,0.9986968040466309,0.013615390285849571,0.9968816637992859,0.08287245035171509,0,,False,False,False,unknown_pass_final_outcome_matured
167,167,RETIRED,UNKNOWN_PASS_EXHAUSTED,67,129,17,9,4,0,9,0,0,511,0,27,27,0,0,0,3|2|2|2|2|2|10|2|2,3|2|2|2|2|2|10|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,179,2,0.9995813071727753,0.01084365975111723,0.9985543340444565,0.07208107970654964,0,,False,False,False,unknown_pass_final_outcome_matured
1365,1365,RETIRED,UNKNOWN_PASS_EXHAUSTED,104,132,17,9,5,0,9,0,0,511,0,26,25,0,0,0,4|2|2|2|2|2|8|2|2,3|2|2|2|2|2|8|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,169,7,0.9996336221694946,0.009202665043994784,0.9986359596252441,0.0632355660200119,0,,False,False,False,unknown_pass_final_outcome_matured
468,468,RETIRED,UNKNOWN_PASS_EXHAUSTED,74,136,14,9,2,0,8,1,0,447,64,20,18,0,0,2,2|2|2|2|2|2|2|4|2,2|2|2|2|2|2|0|4|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|0|0,255,13,0.9973971843719482,0.01894688466563821,0.9991775155067444,0.06893760710954666,0,,False,False,False,unknown_pass_final_outcome_matured
847,847,RETIRED,UNKNOWN_PASS_EXHAUSTED,86,140,17,9,7,0,9,0,0,511,0,28,26,0,0,0,2|2|4|2|2|2|10|2|2,2|2|2|2|2|2|10|2|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,178,2,0.9991340552057538,0.010223547828250698,0.9990447078432355,0.055253032727965286,0,,False,False,False,unknown_pass_final_outcome_matured
446,446,RETIRED,UNKNOWN_PASS_EXHAUSTED,58,144,16,9,1,2,7,0,3,508,0,21,19,0,0,0,2|2|2|2|2|2|4|3|2,1|1|2|2|2|2|4|3|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,185,2,0.9995239973068237,0.007970091886818409,0.9986130595207214,0.06194834038615227,0,,False,False,False,unknown_pass_final_outcome_matured
