environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,0,100000,95d83ead048b625f5be496619e3ba191e9017b11f62e52bd2e79429ba24dffd0,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,1,100001,82f68a64dc42985b8e8ff10f7e366bbdd53d24b0a5906326d05ad8b39730f691,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,2,100002,4efa798e403218bdd927626fe283f84a45add96d6bde06b6bc5ae1f94399401f,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,3,100003,8a35474ac96ee9b5f443b37e9c84b7e56e618a6c16675a81f1ceddc9e26e70b9,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,4,100004,1831e4b8b23d0f5e9288b6d322e3f904cedad16aa60b0b0dc23481ecd3951696,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,5,100005,ae8e15b3a7a77564dc81248b7c2926202c31f4e2f389482a05f1dfd10c75ea50,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,6,100006,fe85cb5229ed0d8e0b797e1c66d1a086046d832a0ff87ece6ca2da2bb198acd0,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,7,100007,ef17435f9b0f36e38ba3e2bf03d1c95704f20760718c96adc217169e6c7bbac4,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,8,100008,4614692d96ffa65d7177add7e5fc8f49226eda0081c4a013c3134a173040f62d,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,9,100009,9d48a009541d25a9b8ba47eced81469b339c2cd35f8052845e583ea1d5d3e79c,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,10,100010,43badc39b14438530784ac1841be19b2918aa9b41660f0b0859cad697497d339,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,11,100011,5b16875f1191c9956f580e77b805f571a107ecfde5a1c2ac8917f22e1a24536c,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,12,100012,4737c990f5828f2e7d71723955072276f4e6f0b29e6a7a58f4ab1215f4a0a2d2,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,13,100013,ac11bd24734943cb26a8495cbd5aa815dccf1e14a710d603a02949abf4a82d9e,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,14,100014,56752d88c7e0951bd9c7a3a353372cab4d26c2535b8dcde2bacfef6e249ace05,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,15,100015,6aa90bec518de19e4176399222c2dcebf2166e52ccab935d6a1074f5eb6d94fe,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,16,100016,5a6dff388770ad849190c17eb7b17420d45ca54bf07d260b4ad95b4639da5fbd,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,17,100017,6b7d696a1137899d3bf92cb50f618d0d1c3e53ee2c770437bafd75aa26664bd4,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,18,100018,5f774404bd55f6208436958118e0559f517fa47cceb275e8c46db179b0129aa9,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,19,100019,bacf50d93bc1dde9efe52d39d6bf336491877ed09bba6a76f6f94ff0161ea241,True,14,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,20,100020,73f016ddfff79c056bbdd862ca91427648d8126530cd4eb00073d39739f9d6be,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,21,100021,3658c10d3869030f339279555b02d9a123c8c22dee49272559e19b8063539e54,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,22,100022,886a3ae4ed4e4e3db5eec6b25e3bcaf4aa5881ec2d8d466f15689364e9080513,True,10,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,23,100023,fa4fd85e1992cba360768cf80f2d0ce20df89b795199a5b4340369beef0e5235,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,24,100024,5832a45106bb9d6ae569139c4a3d8f4879cf44b70ece6c2ba458dd80e5267e84,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,25,100025,bbbe260f46c7c705f35c07ecfdc3e998a23e0446db20fd92c7ec2a3f1368e720,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,26,100026,a3feb84722ed41baf6a5be655d55cac5e77aebd6f07d5343a62cd067290acad5,True,5,500,True,0
