episode,cumulative_pools_created
94,1
95,2
95,3
95,4
95,5
95,6
95,7
95,8
95,9
95,10
95,11
95,12
95,13
95,14
95,15
95,16
95,17
95,18
95,19
95,20
95,21
95,22
95,23
95,24
95,25
95,26
95,27
95,28
95,29
96,30
96,31
96,32
96,33
96,34
96,35
96,36
96,37
96,38
96,39
96,40
96,41
96,42
96,43
96,44
96,45
96,46
96,47
96,48
96,49
96,50
96,51
96,52
96,53
96,54
96,55
96,56
96,57
96,58
96,59
96,60
96,61
96,62
96,63
96,64
96,65
96,66
96,67
96,68
98,69
99,70
99,71
99,72
99,73
100,74
100,75
100,76
100,77
100,78
100,79
100,80
100,81
100,82
100,83
100,84
100,85
100,86
100,87
102,88
102,89
102,90
102,91
102,92
102,93
102,94
102,95
102,96
103,97
103,98
103,99
103,100
103,101
103,102
103,103
103,104
103,105
103,106
103,107
103,108
103,109
103,110
103,111
103,112
103,113
103,114
103,115
103,116
103,117
103,118
103,119
103,120
103,121
103,122
103,123
103,124
103,125
103,126
103,127
103,128
104,129
104,130
104,131
104,132
104,133
104,134
104,135
104,136
104,137
104,138
104,139
104,140
104,141
104,142
104,143
104,144
104,145
104,146
104,147
104,148
104,149
104,150
104,151
104,152
104,153
104,154
104,155
104,156
104,157
104,158
104,159
104,160
104,161
104,162
104,163
104,164
104,165
104,166
104,167
104,168
104,169
104,170
104,171
104,172
104,173
104,174
106,175
106,176
106,177
106,178
106,179
106,180
106,181
106,182
107,183
107,184
107,185
107,186
107,187
107,188
107,189
107,190
107,191
108,192
108,193
108,194
108,195
108,196
108,197
109,198
109,199
114,200
114,201
114,202
114,203
114,204
114,205
114,206
114,207
124,208
124,209
125,210
125,211
125,212
125,213
125,214
125,215
125,216
125,217
125,218
130,219
130,220
130,221
130,222
141,223
141,224
142,225
142,226
145,227
147,228
149,229
149,230
149,231
149,232
149,233
153,234
155,235
155,236
155,237
155,238
159,239
163,240
165,241
165,242
166,243
168,244
168,245
171,246
185,247
186,248
200,249
211,250
216,251
216,252
216,253
216,254
218,255
218,256
220,257
220,258
220,259
221,260
223,261
223,262
227,263
227,264
227,265
227,266
227,267
229,268
229,269
235,270
239,271
239,272
239,273
239,274
242,275
245,276
247,277
250,278
253,279
262,280
281,281
282,282
299,283
303,284
307,285
309,286
313,287
323,288
324,289
324,290
324,291
324,292
330,293
335,294
337,295
337,296
337,297
354,298
375,299
382,300
388,301
391,302
