retired_pool_id,original_pool_id,status,retirement_reason,episode_created,episode_retired,permanent_pool_visits,actions_explored,hits_after_retirement,unknown_actions,safe_actions,blocked_actions,unknown_mask,safe_mask,blocked_mask,total_action_attempts,total_safe_outcomes,total_collision_outcomes,total_out_of_road_outcomes,total_warnings,action_attempt_counts,safe_outcome_counts,collision_outcome_counts,out_of_road_outcome_counts,warning_counts,last_hit_episode,last_hit_step,mean_general_similarity,mean_general_rms_distance,mean_safety_similarity,mean_safety_rms_distance,retirement_trigger_action,retirement_trigger_reward,retirement_trigger_collision,retirement_trigger_out_of_road,retirement_trigger_done,retirement_trigger_type
410,410,RETIRED,UNKNOWN_PASS_EXHAUSTED,49,89,15,9,117,8,1,0,383,128,0,137,10,0,0,0,7|4|4|8|5|10|55|18|26,0|0|0|0|0|0|1|8|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,0,0.9845431956470522,0.09985130684625389,0.9999067324858445,0.010950381009895196,3,,False,False,False,unknown_pass_final_outcome_matured
15,15,RETIRED,UNKNOWN_PASS_EXHAUSTED,41,106,15,9,132,7,2,0,319,192,0,151,10,0,0,0,6|4|7|8|58|9|37|7|15,0|0|0|0|0|0|5|5|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,394,0,0.9901327016678724,0.07442129880302784,0.9997773071130117,0.013220717521934685,3,,False,False,False,unknown_pass_final_outcome_matured
411,411,RETIRED,UNKNOWN_PASS_EXHAUSTED,50,118,15,9,28,1,8,0,2,509,0,47,38,0,0,0,4|8|2|2|2|2|5|10|12,2|1|2|2|2|2|5|10|12,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,1,0.9999904015234539,0.13030361211193459,0.9997736322028297,0.011595978809054941,3,,False,False,False,unknown_pass_final_outcome_matured
1194,1194,RETIRED,UNKNOWN_PASS_EXHAUSTED,78,146,14,9,45,0,9,0,0,511,0,64,64,0,0,0,2|2|2|2|3|2|2|47|2,2|2|2|2|3|2|2|47|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,4,0.9518775343894958,0.1363656452960438,0.9971608095698886,0.054499078459209864,2,,False,False,False,unknown_pass_final_outcome_matured
417,417,RETIRED,UNKNOWN_PASS_EXHAUSTED,42,146,15,9,28,0,9,0,0,511,0,49,49,0,0,0,2|2|2|2|2|2|2|33|2,2|2|2|2|2|2|2|33|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,374,12,0.8954526313713619,0.12202073420797076,0.9977056107350758,0.05078061304188201,2,,False,False,False,unknown_pass_final_outcome_matured
1371,1371,RETIRED,UNKNOWN_PASS_EXHAUSTED,75,173,16,9,30,8,1,0,447,64,0,50,5,0,0,0,2|4|2|4|5|3|15|3|12,0|0|1|0|0|0|2|1|1,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,385,0,0.9900790592034657,0.0725237274542451,0.9990038375059763,0.07401139674087366,2,,False,False,False,unknown_pass_final_outcome_matured
435,435,RETIRED,UNKNOWN_PASS_EXHAUSTED,57,180,15,9,63,7,2,0,239,272,0,85,6,0,0,0,3|3|5|4|22|7|25|7|9,1|0|0|0|2|1|0|0|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,0,0.9919230550986555,0.06831563624834257,0.9994460386827072,0.03393238812633273,2,,False,False,False,unknown_pass_final_outcome_matured
1506,1506,RETIRED,UNKNOWN_PASS_EXHAUSTED,70,180,15,9,14,0,9,0,0,511,0,33,33,0,0,0,2|2|2|2|2|2|2|17|2,2|2|2|2|2|2|2|17|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,393,12,0.9197395699364799,0.13507480413786002,0.9985883789403098,0.06366504476006542,2,,False,False,False,unknown_pass_final_outcome_matured
5482,5482,RETIRED,UNKNOWN_PASS_EXHAUSTED,143,183,15,9,53,1,8,0,2,509,0,72,62,0,0,0,5|8|4|2|2|2|11|21|17,4|1|2|2|2|2|11|21|17,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,390,3,0.999994085644776,0.09964771498486681,0.999425637272169,0.02158662288467277,2,,False,False,False,unknown_pass_final_outcome_matured
200,200,RETIRED,UNKNOWN_PASS_EXHAUSTED,39,183,15,9,6,0,9,0,0,511,0,25,23,0,0,0,2|3|3|2|2|2|2|7|2,2|2|2|2|2|2|2|7|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,390,6,0.908428430557251,0.12723618000745773,0.9967130919297537,0.06559994506339233,2,,False,False,False,unknown_pass_final_outcome_matured
3975,3975,RETIRED,UNKNOWN_PASS_EXHAUSTED,118,183,16,9,21,7,2,0,367,144,0,44,5,0,0,0,2|3|2|2|24|2|3|4|2,0|0|0|0|3|0|0|2|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,295,14,0.992148423137519,0.07126665966851371,0.9981483900754368,0.05369003170302936,2,,False,False,False,unknown_pass_final_outcome_matured
4157,4157,RETIRED,UNKNOWN_PASS_EXHAUSTED,123,191,15,9,34,0,9,0,0,511,0,53,48,0,0,0,2|6|3|2|2|2|12|9|15,2|2|2|2|2|2|12|9|15,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,396,1,0.999995676910176,0.08380326401332722,0.9994087254299837,0.04669150792281417,2,,False,False,False,unknown_pass_final_outcome_matured
1199,1199,RETIRED,UNKNOWN_PASS_EXHAUSTED,62,207,15,9,11,0,9,0,0,511,0,31,30,0,0,0,3|2|2|2|2|2|2|14|2,2|2|2|2|2|2|2|14|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,379,8,0.9235456748442217,0.09897645833817395,0.9966411102901805,0.060541713440960106,1,,False,False,False,unknown_pass_final_outcome_matured
201,201,RETIRED,UNKNOWN_PASS_EXHAUSTED,49,216,16,9,5,6,3,0,63,448,0,25,10,0,0,0,4|2|2|2|3|2|3|3|4,1|0|0|0|0|0|3|2|4,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,368,1,0.9999929904937744,0.11472846567630768,0.9981972575187683,0.04879774283617735,2,,False,False,False,unknown_pass_final_outcome_matured
1092,1092,RETIRED,UNKNOWN_PASS_EXHAUSTED,60,221,16,9,5,0,9,0,0,511,0,25,25,0,0,0,2|2|2|2|2|2|2|9|2,2|2|2|2|2|2|2|9|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,346,12,0.9308367609977722,0.1288382738828659,0.9952978491783142,0.07201869562268257,2,,False,False,False,unknown_pass_final_outcome_matured
2003,2003,RETIRED,UNKNOWN_PASS_EXHAUSTED,84,224,15,9,16,0,9,0,0,511,0,37,37,0,0,0,2|2|2|2|2|2|2|21|2,2|2|2|2|2|2|2|21|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,383,8,0.9921840988099575,0.12756626354530454,0.9988101720809937,0.042299894528696314,2,,False,False,False,unknown_pass_final_outcome_matured
5483,5483,RETIRED,UNKNOWN_PASS_EXHAUSTED,140,236,15,9,20,0,9,0,0,511,0,41,41,0,0,0,2|2|2|2|2|2|2|25|2,2|2|2|2|2|2|2|25|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,369,3,0.9991260319948196,0.13369381930679083,0.9987491816282272,0.049462170153856275,2,,False,False,False,unknown_pass_final_outcome_matured
23,23,RETIRED,UNKNOWN_PASS_EXHAUSTED,37,238,15,9,22,0,9,0,0,511,0,41,41,0,0,0,2|2|2|2|2|2|2|25|2,2|2|2|2|2|2|2|25|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,384,12,0.9420986609025435,0.09507161311127922,0.9960447143424641,0.06433540599589999,2,,False,False,False,unknown_pass_final_outcome_matured
199,199,RETIRED,UNKNOWN_PASS_EXHAUSTED,89,239,15,9,28,0,9,0,0,511,0,50,50,0,0,0,2|2|2|2|2|2|2|33|3,2|2|2|2|2|2|2|33|3,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,3,0.990790918469429,0.12073360995522567,0.9985803025109428,0.04236786433362535,1,,False,False,False,unknown_pass_final_outcome_matured
16,16,RETIRED,UNKNOWN_PASS_EXHAUSTED,37,244,15,9,5,0,9,0,0,511,0,24,24,0,0,0,2|2|2|2|2|2|2|8|2,2|2|2|2|2|2|2|8|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,380,5,0.9735030651092529,0.05903727225959301,0.998081910610199,0.055090943723917006,2,,False,False,False,unknown_pass_final_outcome_matured
440,440,RETIRED,UNKNOWN_PASS_EXHAUSTED,43,248,14,9,6,0,9,0,0,511,0,28,28,0,0,0,2|2|2|2|2|2|2|12|2,2|2|2|2|2|2|2|12|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,19,0.936952143907547,0.12004955485463142,0.9982760846614838,0.06481830030679703,1,,False,False,False,unknown_pass_final_outcome_matured
194,194,RETIRED,UNKNOWN_PASS_EXHAUSTED,39,264,16,9,55,0,9,0,0,511,0,75,75,0,0,0,2|2|2|2|2|2|2|58|3,2|2|2|2|2|2|2|58|3,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,382,8,0.9464260361411355,0.08635579232465138,0.9989912390708924,0.04845788688822226,3,,False,False,False,unknown_pass_final_outcome_matured
5785,5785,RETIRED,UNKNOWN_PASS_EXHAUSTED,146,265,15,9,22,0,9,0,0,511,0,41,41,0,0,0,2|2|2|2|2|2|2|25|2,2|2|2|2|2|2|2|25|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,375,8,0.9035363441163843,0.11728124591437253,0.997421145439148,0.0488025505434383,3,,False,False,False,unknown_pass_final_outcome_matured
3120,3120,RETIRED,UNKNOWN_PASS_EXHAUSTED,104,269,16,9,38,0,9,0,0,511,0,58,58,0,0,0,2|2|3|2|2|2|2|41|2,2|2|3|2|2|2|2|41|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,391,9,0.9100233504646703,0.1171249837467545,0.9971950054168701,0.04847122758234802,2,,False,False,False,unknown_pass_final_outcome_matured
9784,9784,RETIRED,UNKNOWN_PASS_EXHAUSTED,212,270,14,9,9,2,7,0,3,508,0,27,21,0,0,0,3|2|3|2|2|2|2|5|6,0|0|2|2|2|2|2|5|6,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,397,1,0.9999946355819702,0.09009434365563923,0.9992912742826674,0.03999133863382869,2,,False,False,False,unknown_pass_final_outcome_matured
2006,2006,RETIRED,UNKNOWN_PASS_EXHAUSTED,84,276,15,9,12,0,9,0,0,511,0,31,31,0,0,0,2|2|2|2|2|2|2|15|2,2|2|2|2|2|2|2|15|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,383,9,0.9443698128064474,0.12320742787172397,0.9967274268468221,0.0660099817129473,2,,False,False,False,unknown_pass_final_outcome_matured
973,973,RETIRED,UNKNOWN_PASS_EXHAUSTED,58,281,15,9,28,0,9,0,0,511,0,48,48,0,0,0,2|2|2|2|2|2|2|32|2,2|2|2|2|2|2|2|32|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,379,11,0.9087275309222085,0.0975544833179031,0.9960915786879403,0.060907546896487474,1,,False,False,False,unknown_pass_final_outcome_matured
967,967,RETIRED,UNKNOWN_PASS_EXHAUSTED,58,287,15,9,6,0,9,0,0,511,0,25,25,0,0,0,2|2|2|2|2|2|2|9|2,2|2|2|2|2|2|2|9|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,369,6,0.9521293143431345,0.07721754163503647,0.9995274245738983,0.06133883508543173,2,,False,False,False,unknown_pass_final_outcome_matured
8049,8049,RETIRED,UNKNOWN_PASS_EXHAUSTED,184,288,15,9,20,1,8,0,2,509,0,39,35,0,0,0,3|4|2|2|2|3|5|3|15,2|1|2|2|2|3|5|3|15,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,394,1,0.999992722272873,0.11117017697542905,0.9988134503364563,0.03790625119581818,2,,False,False,False,unknown_pass_final_outcome_matured
469,469,RETIRED,UNKNOWN_PASS_EXHAUSTED,44,292,15,9,7,0,9,0,0,511,0,26,26,0,0,0,2|2|2|2|2|2|2|10|2,2|2|2|2|2|2|2|10|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,388,10,0.9500543219702584,0.08888630036796842,0.9988092694963727,0.06766196712851524,2,,False,False,False,unknown_pass_final_outcome_matured
5547,5547,RETIRED,UNKNOWN_PASS_EXHAUSTED,146,295,15,9,7,0,9,0,0,511,0,26,26,0,0,0,2|2|2|2|2|2|2|10|2,2|2|2|2|2|2|2|10|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,360,17,0.9993393591472081,0.13474466332367488,0.997774771281651,0.057440265480961115,2,,False,False,False,unknown_pass_final_outcome_matured
6615,6615,RETIRED,UNKNOWN_PASS_EXHAUSTED,170,295,15,9,7,0,9,0,0,511,0,26,26,0,0,0,2|2|2|2|2|2|2|10|2,2|2|2|2|2|2|2|10|2,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,368,15,0.9472050666809082,0.10110466395105634,0.9952613881656102,0.06720770629388946,2,,False,False,False,unknown_pass_final_outcome_matured
